,ticker,lastrebaldate,assetclass,basisdate,costbasis,shares,allocation_target,close,value,allocation,correction,new_money_in,rebal_flag,final_shares_chg,new_shares,new_value,new_value_chg,final_allocation
0,HYG,2020-11-16,ETF,2018-11-16,85.00000000000001,3.14,0.05,72.92,228.96880000000002,0.0002799391287534159,0.049720060871246585,50.0,1,558.0,561.14,40918.3288,40689.36,0.0499782781855362
1,IAU,2020-11-16,ETF,2018-11-16,18.0,549.871,0.1,31.06,17078.99326,0.02088091693361655,0.07911908306638346,100.0,1,2086.0,2635.871,81870.15326,64791.159999999996,0.09999746848705031
2,IWM,2020-11-16,ETF,2018-11-16,157.0,151.578,0.1,177.49,26903.579220000003,0.03289253613241326,0.06710746386758674,100.0,1,309.0,460.578,81747.98922,54844.41,0.09984825544354524
3,QQQ,2020-11-16,ETF,2018-11-16,175.0,514.298,0.1,265.68,136638.69264,0.16705558386840205,-0.06705558386840205,100.0,1,-206.0,308.298,81908.61264,-54730.08,0.10004444336722877
4,SPY,2020-11-16,ETF,2018-11-16,260.00000000000006,1685.8899999999999,0.1,374.87,631989.5843,0.7726756379479452,-0.6726756379479453,100.0,1,-1467.0,218.89,82055.2943,-549934.29,0.10022360261012034
5,XLF,2020-11-16,ETF,2018-11-16,27.0,151.121,0.1,33.64,5083.710440000001,0.006215385988869421,0.09378461401113058,100.0,1,2283.0,2434.121,81883.83044,76800.12,0.10001417400574768
6,XLI,,ETF,2022-11-02,92.6,0.0,0.1,92.6,0.0,0.0,0.1,100.0,1,884.0,884.0,81858.4,81858.4,0.09998311287392792
7,EEM,,ETF,2022-11-02,34.53,0.0,0.1,34.53,0.0,0.0,0.1,100.0,1,2371.0,2371.0,81870.63,81870.63,0.09999805078464263
8,XLV,,ETF,2022-11-02,130.57,0.0,0.1,130.57,0.0,0.0,0.1,100.0,1,627.0,627.0,81867.39,81867.39,0.09999409339864788
9,TLT,,ETF,2022-11-02,96.35,0.0,0.1,96.35,0.0,0.0,0.1,100.0,1,849.0,849.0,81801.15,81801.15,0.09991318684053327
10,SHV,,ETF,2022-11-02,109.76,0.0,0.05,109.76,0.0,0.0,0.05,50.0,1,373.0,373.0,40940.48,40940.48,0.050005334003019715
