,accounttype,accountid,ticker,shares,assetclass,close,value,final_shares_chg,new_shares,new_value,new_value_chg,final_allocation,value_orig,tick_alloc
0,IRA,0003,HYG,3.14,ETF,72.92,228.96880000000002,558.0,561.14,40918.3288,40689.36,0.0499782781855362,228.96880000000002,1.0
1,IRA,0003,IAU,549.871,ETF,31.06,17078.99326,2086.0,2635.871,81870.15326,64791.159999999996,0.09999746848705031,17078.99326,1.0
2,401K,0002,IWM,151.578,ETF,177.49,26903.579220000003,309.0,460.578,81747.98922,54844.41,0.09984825544354524,26903.579220000003,1.0
3,IRA,0001,QQQ,514.298,ETF,265.68,136638.69264,-206.0,308.298,81908.61264,-54730.08,0.10004444336722877,136638.69264,1.0
4,IRA,0001,SPY,913.483,ETF,374.87,631989.5843,-1467.0,218.89,82055.2943,-549934.29,0.10022360261012034,342437.37221,0.5418402149606439
5,401K,0002,SPY,772.407,ETF,374.87,631989.5843,-1467.0,218.89,82055.2943,-549934.29,0.10022360261012034,289552.21209000004,0.45815978503935617
6,IRA,0001,XLF,151.121,ETF,33.64,5083.710440000001,2283.0,2434.121,81883.83044,76800.12,0.10001417400574768,5083.710440000001,1.0
7,,,XLI,,ETF,92.6,0.0,884.0,884.0,81858.4,81858.4,0.09998311287392792,,1.0
8,,,EEM,,ETF,34.53,0.0,2371.0,2371.0,81870.63,81870.63,0.09999805078464263,,1.0
9,,,XLV,,ETF,130.57,0.0,627.0,627.0,81867.39,81867.39,0.09999409339864788,,1.0
10,,,TLT,,ETF,96.35,0.0,849.0,849.0,81801.15,81801.15,0.09991318684053327,,1.0
11,,,SHV,,ETF,109.76,0.0,373.0,373.0,40940.48,40940.48,0.050005334003019715,,1.0
