,ticker,lastrebaldate,assetclass,basisdate,costbasis,shares,allocation_target,close,value,allocation,correction,new_money_in,rebal_flag,final_shares_chg,new_shares,new_value,new_value_chg,final_allocation
0,HYG,2020-11-16,ETF,2018-11-16,85.00000000000001,3.14,0.05,76.95,241.62300000000002,0.0002595346400803395,0.04974046535991966,50.0,1,602.0,605.14,46565.523,46323.9,0.04996908093136362
1,IAU,2020-11-16,ETF,2018-11-16,18.0,549.871,0.1,33.15,18228.22365,0.019579491456966767,0.08042050854303323,100.0,1,2261.0,2810.871,93180.37365,74952.15,0.09999109495949507
2,IWM,2020-11-16,ETF,2018-11-16,157.0,151.578,0.1,194.65,29504.6577,0.03169185349434084,0.06830814650565917,100.0,1,327.0,478.578,93155.2077,63650.55,0.09996408958489067
3,QQQ,2020-11-16,ETF,2018-11-16,175.0,514.298,0.1,322.86,166046.25228000002,0.1783553482995371,-0.07835534829953708,100.0,1,-225.0,289.298,93402.75228,-72643.5,0.10022972764402169
4,SPY,2020-11-16,ETF,2018-11-16,260.00000000000006,1685.8899999999999,0.1,422.14,711681.6046,0.7644389362836297,-0.6644389362836297,100.0,1,-1465.0,220.89,93246.50459999999,-618435.1,0.1000620595397193
5,XLF,2020-11-16,ETF,2018-11-16,27.0,151.121,0.1,34.96,5283.19016,0.005674835825445388,0.09432516417455462,100.0,1,2514.0,2665.121,93172.63016,87889.44,0.09998278548386648
6,XLI,,ETF,2022-08-21,98.84,0.0,0.1,98.84,0.0,0.0,0.1,100.0,1,942.0,942.0,93107.28,93107.28,0.09991265876298937
7,EEM,,ETF,2022-08-21,39.9,0.0,0.1,39.9,0.0,0.0,0.1,100.0,1,2335.0,2335.0,93166.5,93166.5,0.09997620725943288
8,XLV,,ETF,2022-08-21,132.92,0.0,0.1,132.92,0.0,0.0,0.1,100.0,1,701.0,701.0,93176.92,93176.92,0.09998738887599723
9,TLT,,ETF,2022-08-21,113.04,0.0,0.1,113.04,0.0,0.0,0.1,100.0,1,824.0,824.0,93144.96,93144.96,0.0999530928620436
10,SHV,,ETF,2022-08-21,110.09,0.0,0.05,110.09,0.0,0.0,0.05,50.0,1,423.0,423.0,46568.07,46568.07,0.04997181409618026
