,ticker,lastrebaldate,assetclass,basisdate,costbasis,shares,allocation_target,close,value,allocation,correction,new_money_in
0,HYG,2020-11-16,ETF,2018-11-16,85.00000000000001,3.14,0.05,76.95,241.62300000000002,0.0002595346400803395,0.04974046535991966,50.0
1,IAU,2020-11-16,ETF,2018-11-16,18.0,549.871,0.1,33.15,18228.22365,0.019579491456966767,0.08042050854303323,100.0
2,IWM,2020-11-16,ETF,2018-11-16,157.0,151.578,0.1,194.65,29504.6577,0.03169185349434084,0.06830814650565917,100.0
3,QQQ,2020-11-16,ETF,2018-11-16,175.0,514.298,0.1,322.86,166046.25228000002,0.1783553482995371,-0.07835534829953708,100.0
4,SPY,2020-11-16,ETF,2018-11-16,260.00000000000006,1685.8899999999999,0.1,422.14,711681.6046,0.7644389362836297,-0.6644389362836297,100.0
5,XLF,2020-11-16,ETF,2018-11-16,27.0,151.121,0.1,34.96,5283.19016,0.005674835825445388,0.09432516417455462,100.0
6,XLI,,ETF,2022-08-21,98.84,0.0,0.1,98.84,0.0,0.0,0.1,100.0
7,EEM,,ETF,2022-08-21,39.9,0.0,0.1,39.9,0.0,0.0,0.1,100.0
8,XLV,,ETF,2022-08-21,132.92,0.0,0.1,132.92,0.0,0.0,0.1,100.0
9,TLT,,ETF,2022-08-21,113.04,0.0,0.1,113.04,0.0,0.0,0.1,100.0
10,SHV,,ETF,2022-08-21,110.09,0.0,0.05,110.09,0.0,0.0,0.05,50.0
