,accounttype,accountid,ticker,shares,assetclass,close,value,final_shares_chg,new_shares,new_value,new_value_chg,final_allocation
0,IRA,0003,HYG,3.14,ETF,76.95,241.62300000000002,602.0,605.14,46565.523,46323.9,0.04996908093136362
1,IRA,0003,IAU,549.871,ETF,33.15,18228.22365,2261.0,2810.871,93180.37365,74952.15,0.09999109495949507
2,401K,0002,IWM,151.578,ETF,194.65,29504.6577,327.0,478.578,93155.2077,63650.55,0.09996408958489067
3,IRA,0001,QQQ,514.298,ETF,322.86,166046.25228000002,-225.0,289.298,93402.75228,-72643.5,0.10022972764402169
4,IRA,0001,SPY,913.483,ETF,422.14,385617.71361999994,-793.7959149173432,119.68708508265661,50524.70609679266,-335093.0075232072,0.05421764785040625
5,401K,0002,SPY,772.407,ETF,422.14,326063.89098,-671.2040850826567,101.20291491734336,42721.79850320733,-283342.0924767927,0.04584441168931305
6,IRA,0001,XLF,151.121,ETF,34.96,5283.19016,2514.0,2665.121,93172.63016,87889.44,0.09998278548386648
7,,,XLI,,ETF,98.84,0.0,942.0,942.0,93107.28,93107.28,0.09991265876298937
8,,,EEM,,ETF,39.9,0.0,2335.0,2335.0,93166.5,93166.5,0.09997620725943288
9,,,XLV,,ETF,132.92,0.0,701.0,701.0,93176.92,93176.92,0.09998738887599723
10,,,TLT,,ETF,113.04,0.0,824.0,824.0,93144.96,93144.96,0.0999530928620436
11,,,SHV,,ETF,110.09,0.0,423.0,423.0,46568.07,46568.07,0.04997181409618026
