,ticker,lastrebaldate,assetclass,basisdate,costbasis,shares,allocation_target,close,value,allocation,correction,new_money_in,timedelta,rebal_flag_thresh,rebal_flag_time,rebal_flag_exit,rebal_flag_newmoney,rebal_flag,value_chg,shares_chg,final_shares_chg,new_shares,new_value,new_value_chg
0,HYG,2020-11-16,ETF,2018-11-16,85.00000000000001,3.14,0.05,76.95,241.62300000000002,0.0002595346400803395,0.04974046535991966,50.0,-643.0,0,0,0,1,1,46357.654569499995,602.4386558739441,602.0,605.14,46565.523,46323.9
1,IAU,2020-11-16,ETF,2018-11-16,18.0,549.871,0.1,33.15,18228.22365,0.019579491456966767,0.08042050854303323,100.0,-643.0,1,0,0,1,1,74970.33148899999,2261.548461206636,2261.0,2810.871,93180.37365,74952.15
2,IWM,2020-11-16,ETF,2018-11-16,157.0,151.578,0.1,194.65,29504.6577,0.03169185349434084,0.06830814650565917,100.0,-643.0,1,0,0,1,1,63693.89743899999,327.22269426663235,327.0,478.578,93155.2077,63650.55
3,QQQ,2020-11-16,ETF,2018-11-16,175.0,514.298,0.1,322.86,166046.25228000002,0.1783553482995371,-0.07835534829953708,100.0,-643.0,1,0,0,1,1,-72847.69714100003,-225.63246342377508,-225.0,289.298,93402.75228,-72643.5
4,SPY,2020-11-16,ETF,2018-11-16,260.00000000000006,1685.8899999999999,0.1,422.14,711681.6046,0.7644389362836297,-0.6644389362836297,100.0,-643.0,1,0,0,1,1,-618483.049461,-1465.1135866323968,-1465.0,220.89,93246.50459999999,-618435.1
5,XLF,2020-11-16,ETF,2018-11-16,27.0,151.121,0.1,34.96,5283.19016,0.005674835825445388,0.09432516417455462,100.0,-643.0,1,0,0,1,1,87915.364979,2514.7415611842107,2514.0,2665.121,93172.63016,87889.44
6,XLI,,ETF,2022-08-21,98.84,0.0,0.1,98.84,0.0,0.0,0.1,100.0,0.0,1,0,0,1,1,93198.555139,942.9234635673816,942.0,942.0,93107.28,93107.28
7,EEM,,ETF,2022-08-21,39.9,0.0,0.1,39.9,0.0,0.0,0.1,100.0,0.0,1,0,0,1,1,93198.555139,2335.803386942356,2335.0,2335.0,93166.5,93166.5
8,XLV,,ETF,2022-08-21,132.92,0.0,0.1,132.92,0.0,0.0,0.1,100.0,0.0,1,0,0,1,1,93198.555139,701.1627681236835,701.0,701.0,93176.92,93176.92
9,TLT,,ETF,2022-08-21,113.04,0.0,0.1,113.04,0.0,0.0,0.1,100.0,0.0,1,0,0,1,1,93198.555139,824.4741254334749,824.0,824.0,93144.96,93144.96
10,SHV,,ETF,2022-08-21,110.09,0.0,0.05,110.09,0.0,0.0,0.05,50.0,0.0,1,0,0,1,1,46599.2775695,423.28347324461805,423.0,423.0,46568.07,46568.07
